Rank,Name,Country,Scientific_Score,Practical_Score,Total_Score,Award
144,Dior Wang,Hong Kong China,60.28,44.67,172.57,Honourable Mention
145,Simon Persson Holm,Sweden,80.25,0,172.54,Honourable Mention
146,Lyu Jin,Macao China,98.64,0,170.6,Honourable Mention
147,Shohjahon Isroilov,Uzbekistan,98.36,0,169.15,Honourable Mention
148,Bui Quang Nguyen,Vietnam,97.98,51.14,168.08,Honourable Mention
149,Sean Xiao,Hong Kong China,71.83,31.12,167.19,Honourable Mention
150,Yerdenov Batyr,Kazakhstan,90.5,0,165.91,Honourable Mention
151,Ethan Chun Yin Fung,Canada,97.16,0,164.87,Honourable Mention
152,Ishaan Gangwani,India,81.26,2.02,164.66,Honourable Mention
153,Minjun Kang,South Korea,95.39,0,164.49,Honourable Mention
154,Choi Sai Chi,Macao China,90.5,0,164.2,
155,Imboon Pipatpaisit,Thailand,98.11,27.64,163.57,Honourable Mention
156,Artur Bentsa,Estonia,80.16,29.23,160.14,Honourable Mention
157,Mugisha Pacifique,Rwanda,82.18,30.81,159.66,Honourable Mention
158,Ethem Yağız Çalık,Turkiye,81.07,20.99,157.14,Honourable Mention
159,Thanakrit Ponimthai,Thailand,80.95,0,156.52,Honourable Mention
160,Zhu Zhekai,China,78.3,0,153.59,Honourable Mention
161,Brodie Millar,Isle Of Man,88.64,51.54,147.72,Honourable Mention
162,Ayhem Bouker,Tunisia,65.71,22.45,147.7,
163,Carlos Huancollo,Peru,52.33,24.6,147.43,Honourable Mention
164,Antoni Kamiński,Poland,73.28,17.65,147.38,
165,Semen Boguslavskii,Kyrgyzstan,67.26,19.5,144.55,
166,Pluzyan Vahe,Armenia,66.78,0,143.76,
167,Nart Abaza,Jordan,96.25,0,141.4,
168,Nikoloz Gegenava,Georgia,71.55,7.88,141.36,
169,Ayan Bin Rafaih,Pakistan,81.48,21.21,141.12,Honourable Mention
170,Veljko Galović,Serbia,42.84,0,140.5,Honourable Mention
171,Misbah Uddin Inan,Bangladesh,88.74,26.1,137.87,Honourable Mention
172,Martin Aldana Mejia,Colombia,71.51,19.15,137.85,Honourable Mention
173,U.Erkhes,Mongolia,89.87,6.65,136.68,Honourable Mention
174,Jose Angel Cortez Cruz,El Salvador,81.07,18.18,135.12,
175,Cruz Caine,Jamaica,49.12,0,134.11,Honourable Mention
176,Gordon Jiang,Hong Kong China,68.08,0,132.96,
177,Bozhidara Puhaleva,Bulgaria,50.73,30.37,131.71,
178,Illés Fleischman,Hungary,98.26,13.51,131.41,Honourable Mention
179,Miguel Cyrineu Vale,Brazil,83.79,9.46,130.89,
180,AGBOSSAGA Merveille,Benin,50.6,41.95,130.06,Honourable Mention
181,Tymofii Slitenko,Estonia,75.08,0,129.82,
182,Tsengeg Nyamsukh,Mongolia,91.83,0,129.43,
183,Antoni Ingorokva,Georgia,81.36,20.73,126.35,Honourable Mention
184,Sebastian Enrique Somoza Portillo,El Salvador,56.09,0,124.96,
185,Sophia Hou,United States,81.51,21.3,123.94,Honourable Mention
186,Parvina Firuzovna,Uzbekistan,60.57,20.82,123.45,
187,Raphaël Mirochnitchenko,France,85.11,0,122.62,
188,Brandon Chow,Canada,69.12,35.56,122.05,Honourable Mention
189,Yubo Zhao,Canada,70.66,0,121.84,
190,Gigi Molashkhia,Georgia,78.11,0,120.17,
191,Kittapat Kitisupawatana,Thailand,77.76,20.6,120.14,
192,César Murat Cepeda Beltrán,México,87.92,0,119.36,
193,Aybak Samiz,Jordan,76.5,7.75,119.33,
194,Juan David Onofre Florian,Colombia,53.6,0,119.28,
195,Aleksandar Slavov,Bulgaria,40.91,0,118.84,Honourable Mention
196,Akniet Kenzhegulov,Kyrgyzstan,81.58,2.86,116.6,
197,Tan Min Sen,Singapore,99.27,0,114.83,
198,Thomas Greissler,France,86.21,0,114.79,
199,Kaixin Li,Australia,82.43,0,113.86,
200,Georgios Tzovairis,Greece,72.4,0,113.6,
