59	William Wang	United States	89.21	60.7	85.18	13.04	21.27	21.27	290.67	Silver
60	Michał Karp	Poland	95.8	70.03	16.46	13.04	83.58	8.1	287.01	Silver
61	Aushakhman Talim	Kazakhstan	97.1	0	1.62	13.04	97.01	76.81	285.58	Silver
62	Gergely Lehotai	Hungary	95.62	68.44	13.58	0	47.39	59.35	284.38	Silver
63	Lily Shi	United States	95.05	77.16	0	0	91.42	20.41	284.04	Silver
64	Kyrylo Redenskyi	IOAI Team	99.02	83.23	20.62	0	66.4	8.1	277.37	Silver
65	Wong Yue Heng	Singapore	93	21.3	9.46	0	96.64	56.2	276.6	Silver
66	Wang Mutian	China	94.64	21.04	26.19	0	95.9	35.88	273.65	Silver
67	Wang Enrun Matthias	Singapore	98.52	13.12	82.69	0	52.24	23.85	270.42	Silver
68	Mocanu Mihai-Adrian	Romania	82.4	0	40.5	0	55.22	91.98	270.1	Silver
69	Talha Rüzgar Akkuş	Turkiye	82.81	98.06	9.48	0	71.64	8.1	270.09	Silver
70	Samuel Johnson	United Kingdom	98.04	51.5	9.26	0	98.88	11.83	269.51	Silver
71	Duan Zongyan	China	94.07	28.21	69.07	0	53.73	24.42	269.5	Silver
72	Leó Nagy	Hungary	82.71	48.5	85.34	0	26.87	25	268.42	Bronze
73	Taeung Jeong	South Korea	95.02	11	13.09	0	99.63	47.61	266.35	Bronze
74	Md. Riasat Islam	Bangladesh	97.41	20.82	32.9	27.52	32.09	54.2	264.94	Bronze
75	Irmuun Chinbat	Mongolia	63.5	39.74	10.93	0	100	50.19	264.36	Bronze
76	Rebengiuc Mircea Maxim	Romania	97.89	18.09	5.8	0	94.4	47.33	263.51	Bronze
77	Himaneesh Sompalle	India	97	27.82	69.67	13.04	54.1	0.08	261.71	Bronze
78	Slănină Simon	Romania	96.62	16.64	7.54	0	81.72	58.21	260.73	Bronze
79	Neng Chan Zou	Macao, China	67.13	5.68	7.25	0	94.78	85.69	260.53	Bronze
80	Jayden Jurianto	Indonesia	89.56	22.14	7.74	13.04	79.1	47.04	258.62	Bronze
81	Ryan Kua Yi Jie	Malaysia	97.57	49.38	9.13	0	45.52	55.06	256.66	Bronze
82	Dong Sihan	China	98.61	34.99	69.59	0	52.99	0.08	256.26	Bronze
83	Martin Reicher	Hungary	93.88	99.08	3.52	0	58.58	0.08	255.14	Bronze
84	Dylan Austin	United Kingdom	98.74	98.28	0	0	48.13	8.1	253.25	Bronze
85	Mahith Gottipati	United States	98.52	58.63	0	0	41.79	47.61	246.55	Bronze
86	Chik Kin Hei	Hong Kong, China	99.62	21.43	27.74	0	59.7	36.16	244.65	Bronze
87	Martin Zhang	Sweden	99.09	52.51	5.82	0	86.94	0.08	244.44	Bronze
88	Aleksa Bolić	Serbia	98.86	0	0	0	97.01	48.19	244.06	Bronze
89	Sio U Hon	Macao, China	98.61	59.24	15.13	0	61.57	8.1	242.65	Bronze
90	Bryan Zhu	United States	98.99	14.61	9.21	0	100	19.56	242.37	Bronze
91	Henry Minh Ho	Australia	37.1	88.42	16.98	0	99.63	0.08	242.21	Bronze
92	Asandei Ștefan-Alexandru	Romania	84.48	71.39	29.71	0	23.13	31.01	239.72	Bronze
93	Benedek Labancz	Hungary	96.59	31.34	13.13	0	96.27	0	237.33	Bronze
94	Khor Kai Jie	Malaysia	98.52	15.63	5.69	0	100	11.83	231.67	Bronze
95	Nguyen Khac Trung Kien	Vietnam	98.49	24.65	7.6	0	92.16	8.1	231	Bronze
96	Sigalov Konstantin	Russia	90.41	31.51	9.36	0	64.93	34.44	230.65	Bronze
97	Bartosz Trojan	Poland	74.45	22.62	5.67	0	98.88	28.72	230.34	Bronze
98	Ali Ayman H Alkhabbaz	Saudi Arabia	92.27	68.88	11.08	0	49.25	8.1	229.58	Bronze
99	Jiang Huikang	China	96.72	0	1.8	0	60.45	67.93	226.9	Bronze
100	Yongseok Kwon	South Korea	98.17	0	23.75	0	96.64	8.1	226.66	Bronze
101	Ayaan Wolvén	Sweden	98.77	27.24	27.58	0	64.55	8.1	226.24	Bronze
102	Lim Ming Wen	Malaysia	97.41	44.94	21.03	13.04	40.67	8.1	225.19	Bronze
103	Shakurov Timur	Kazakhstan	88.99	0	0	0	96.64	38.74	224.37	Bronze
104	Parsa Golestani	Iran	98.86	28.17	0	0	59.7	35.58	222.31	Bronze
105	Ícaro Silva da Rosa Linck Fróes	Brazil	98.3	0	18.43	0	97.01	8.1	221.84	Bronze
106	Roman Mielamud	IOAI Team	98.8	10.92	3.93	0	98.51	8.1	220.26	Bronze
107	Mario Petkov	Bulgaria	51.45	24.87	9.42	27.52	97.39	8.1	218.75	Bronze
108	Qusai Emad  A Jadallah	Saudi Arabia	96.18	37.37	15.01	0	61.57	8.1	218.23	Bronze
109	Alexander Tran	Sweden	91.8	40.85	9.85	0	65.67	6.68	214.85	Bronze
110	Radin Rahmani Nodehi	Iran	97.7	0	7.68	0	99.63	8.1	213.11	Bronze
111	He Jianxing	China	95.14	93.66	13.37	0	0	10.39	212.56	Bronze
112	Máté Magó	Hungary	80	63.6	5.67	0	54.1	8.1	211.47	Bronze
113	Timofei Amosov	France	61.48	25.92	26.4	0	89.18	8.1	211.08	Bronze
114	Arefin Anwar	Bangladesh	96.28	14.39	30.81	0	56.72	12.39	210.59	Bronze
115	Georgios Angelakis	Greece	96.94	0	4.31	0	100	8.1	209.35	Bronze
116	Gabriel N. Siqueira	Brazil	82.49	0	17.23	0	97.39	8.1	205.21	Bronze
117	Ali Abdulhadi A Alsalman	Saudi Arabia	86.88	17.78	5.74	0	80.22	14.11	204.73	Bronze
118	Velislav Dzhelepov	Bulgaria	60.98	93.71	0	42	7.46	0	204.15	Bronze
119	Sanghyeon (Robert) Joo	United States	96.91	42.96	54.08	0	9.33	0.08	203.36	Bronze
120	Sary Sultanbek	Kazakhstan	83.09	17.78	3.58	0	90.67	8.1	203.22	Bronze
121	Ihor Kolisnyk	Sweden	51.61	15.71	47.12	0	12.69	75.67	202.8	Bronze
122	Hannes Tsengov	Estonia	94.89	0	0	13.04	94.4	0	202.33	Bronze
123	Rostyslav Yabchenko	IOAI Team	81.1	35.39	9.36	13.04	17.54	44.46	200.89	Bronze
124	Mehmet Kağan Albayrak	Turkiye	65.11	0	29.48	0	97.76	8.1	200.45	Bronze
125	Filip Kilibarda	Serbia	98.52	52.73	28.1	0	12.69	8.1	200.14	Bronze
126	Hoang Cong Bao Long	Vietnam	69.05	11.27	7.5	42	59.7	8.1	197.62	Bronze
127	S.Khangerel	Mongolia	87.19	7.17	3.66	0	99.25	0.08	197.35	Bronze
128	Rayan Bouslimi	United Arab Emirates	79.97	17.43	16.36	0	73.88	8.1	195.74	Bronze
129	Axel Magaña Falcón	MéXico	96.75	52.68	5.45	0	39.55	0	194.43	Bronze
130	Bui Dam Quan	Vietnam	96.37	43.71	0.21	0	44.38	8.96	193.63	Bronze
131	Hayato Yamai	Japan	87.76	20.82	16.38	0	66.4	0.08	191.44	Bronze
132	Islam Aldaraghmeh	Jordan	99.4	0	3.95	0	79.48	8.1	190.93	Bronze
133	Vong Hou Kei	Macao, China	98.99	0	16.58	0	66.4	8.1	190.07	Bronze
134	Lieke Visser	Netherlands	72.02	51.32	12.73	0	44.38	8.1	188.55	Bronze
135	Beketov Dauzhan	Kazakhstan	80.44	0	7.31	0	85.82	14.69	188.26	Bronze
136	Li Sze Chai Isaac	Hong Kong, China	98.86	0	23.58	0	46.64	18.7	187.78	Bronze
137	Reni Paskaleva	Bulgaria	97.38	2.9	35.55	0	50.75	0.08	186.66	Bronze
138	Muaath Mohammed  A Alqarni	Saudi Arabia	94.61	31.73	9.5	0	44.38	0.08	180.3	Bronze
139	Aram Amirkhanyan	Armenia	64.45	30.37	31.16	0	45.52	8.1	179.6	Bronze
140	Shengxuan Fu	Japan	97.44	0	20.83	0	52.99	8.1	179.36	Bronze
141	Temiko Machavariani	Georgia	82.87	42.17	11.04	0	33.21	8.1	177.39	Bronze
142	Matvei Nizovsky	Kyrgyzstan	81.17	0	12.96	56.52	17.16	8.1	175.91	Bronze
143	Andrej Tetkić	Serbia	66.4	7.57	9.44	0	92.16	0	175.57	
Honourable Mention
144	Dior Wang	Hong Kong, China	60.28	44.67	23.33	0	36.19	8.1	172.57	
Honourable Mention
145	Simon Persson Holm	Sweden	80.25	0	0	0	7.46	84.83	172.54	
Honourable Mention
146	Lyu Jin	Macao, China	98.64	0	9.19	0	62.69	0.08	170.6	
Honourable Mention
147	Shohjahon Isroilov	Uzbekistan	98.36	0	5.78	0	64.93	0.08	169.15	
Honourable Mention
148	Bui Quang Nguyen	Vietnam	97.98	51.14	18.96	0	0	0	168.08	
Honourable Mention
149	Sean Xiao	Hong Kong, China	71.83	31.12	8.94	0	14.55	40.75	167.19	
Honourable Mention
150	Yerdenov Batyr	Kazakhstan	90.5	0	24.18	0	50	1.23	165.91	
Honourable Mention
151	Ethan Chun Yin Fung	Canada	97.16	0	64.64	0	2.99	0.08	164.87	
Honourable Mention
